Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Pelé,98,CAM,Icon  Explosive,0,5,4,H \ M,95,96,93,96,60,76,"173cm | 5'8""  Unique (70kg)",1790,516,2513,FUT 22 ICONS,Icons,Brazil
Ronaldo,96,ST,Icon  Controlled,0,5,5,M \ M,97,95,81,95,45,76,"183cm | 6'0""  R9 (78kg)",2765,489,2341,FUT 22 ICONS,Icons,Brazil
Zinedine Zidane,96,CAM,Icon  Controlled,0,5,5,M \ M,85,92,96,95,75,86,"185cm | 6'1""  Average (77kg)",1031,529,2548,FUT 22 ICONS,Icons,France
Pelé,95,"CF  CAM,ST",Icon  Explosive,4.2M,5,4,H \ M,96,93,90,95,56,75,"173cm | 5'8""  Unique (69kg)",1277,505,2452,FUT 22 ICONS,Icons,Brazil
Ferenc Puskás,94,CF,Icon  Controlled,0,4,3,H \ M,91,96,91,92,46,76,"172cm | 5'8""  Stocky (72kg)",1710,492,2396,FUT 22 ICONS,Icons,Hungary
Johan Cruyff,94,CF,Icon  Explosive,0,5,5,H \ L,91,92,91,94,42,73,"180cm | 5'11""  Lean (71kg)",1575,483,2339,FUT 22 ICONS,Icons,Netherlands
Lev Yashin,94,GK,Icon  Controlled,0,1,3,M \ M,95,89,75,96,60,95,"189cm | 6'2""  High & Average (82kg)",724,510,1320,FUT 22 ICONS,Icons,Russia
Mané Garrincha,94,RW,Icon  Explosive,0,5,4,M \ L,90,87,94,96,41,68,"169cm | 5'7""  Short & Lean- (72kg)",765,476,2301,FUT 22 ICONS,Icons,Brazil
Paolo Maldini,94,CB,Icon  Lengthy,0,2,4,M \ H,86,56,75,69,96,83,"186cm | 6'1""  Average (83kg)",933,465,2140,FUT 22 ICONS,Icons,Italy
Ronaldinho,94,LW,Icon  Controlled,0,5,4,H \ L,92,90,91,95,37,81,"180cm | 5'11""  Ronaldinho (78kg)",1802,486,2328,FUT 22 ICONS,Icons,Brazil
Ronaldo,94,ST  CF,Icon  Controlled,8.5M,5,5,M \ L,93,93,80,93,46,80,"183cm | 6'0""  R9 (82kg)",2890,485,2321,FUT 22 ICONS,Icons,Brazil
Zinedine Zidane,94,"CAM  CM,LM",Icon  Lengthy,2.98M,5,5,M \ M,82,90,93,92,72,83,"185cm | 6'1""  High & Average (82kg)",945,512,2474,FUT 22 ICONS,Icons,France
Müller,94,ST,Icon,0,0,0,\,88,94,77,88,43,76,"176cm | 5'9""",167,466,-,FUT 22 ICONS,Icons,Germany
Carlos Alberto Torres,93,RB,Icon  Controlled,0,3,4,H \ M,90,66,81,86,90,87,"180cm | 5'11""  Average (76kg)",400,500,2324,FUT 22 ICONS,Icons,Brazil
Éric Cantona,93,CF,Icon  Controlled,0,5,4,H \ M,89,93,90,93,53,92,"188cm | 6'2""  High & Average (89kg)",862,510,2476,FUT 22 ICONS,Icons,France
Eusébio,93,CF,Icon  Explosive,0,4,5,H \ M,94,94,86,93,45,79,"175cm | 5'9""  Average (76kg)",1065,491,2398,FUT 22 ICONS,Icons,Portugal
Franco Baresi,93,CB,Icon  Controlled,0,2,3,M \ H,70,49,76,72,95,82,"176cm | 5'9""  Average (70kg)",-16,444,2131,FUT 22 ICONS,Icons,Italy
George Best,93,RW,Icon  Explosive,0,4,4,M \ M,93,91,84,94,58,71,"175cm | 5'9""  Lean (65kg)",583,491,2370,FUT 22 ICONS,Icons,Northern Ireland
Lothar Matthäus,93,CM,Icon  Controlled,0,3,4,H \ H,89,89,90,82,90,85,"174cm | 5'9""  Average (71kg)",804,525,2544,FUT 22 ICONS,Icons,Germany
Marco van Basten,93,ST,Icon  Controlled,0,3,4,M \ M,83,94,76,89,39,75,"188cm | 6'2""  High & Average+ (78kg)",202,456,2231,FUT 22 ICONS,Icons,Netherlands
Roberto Baggio,93,CAM,Icon  Explosive,0,5,4,M \ L,86,84,92,92,40,61,"174cm | 5'9""  Unique (73kg)",404,455,2217,FUT 22 ICONS,Icons,Italy
Ruud Gullit,93,CF,Icon  Controlled,0,4,5,H \ M,86,91,91,89,82,90,"191cm | 6'3""  Unique (88kg)",1476,529,2566,FUT 22 ICONS,Icons,Netherlands
Thierry Henry,93,ST,Icon  Controlled,0,4,4,M \ M,94,91,83,90,53,80,"188cm | 6'2""  High & Average (83kg)",646,491,2332,FUT 22 ICONS,Icons,France
Xavier Hernández,93,CM,Icon  Explosive,0,4,3,H \ H,81,80,95,93,72,72,"170cm | 5'7""  Short & Lean- (67kg)",1356,493,2391,FUT 22 ICONS,Icons,Spain
Alessandro Del Piero,92,CF,Icon  Explosive,0,4,5,M \ M,83,92,89,92,43,67,"174cm | 5'9""  Unique (74kg)",279,466,2265,FUT 22 ICONS,Icons,Italy
Alessandro Nesta,92,CB,Icon  Lengthy,0,2,3,M \ H,72,42,65,67,94,86,"187cm | 6'2""  Unique (79kg)",69,426,1939,FUT 22 ICONS,Icons,Italy
Andrea Pirlo,92,CM,Icon  Explosive,0,5,4,M \ M,73,80,95,91,71,67,"177cm | 5'10""  Lean (67kg)",245,477,2347,FUT 22 ICONS,Icons,Italy
Bobby Moore,92,CB,Icon  Controlled,0,2,3,M \ M,68,64,83,78,93,85,"178cm | 5'10""  Average (72kg)",-100,471,2318,FUT 22 ICONS,Icons,England
Carles Puyol Saforcada,92,CB,Icon  Lengthy,0,2,3,M \ H,70,45,68,58,94,90,"178cm | 5'10""  Stocky (80kg)",-11,425,2016,FUT 22 ICONS,Icons,Spain
David Beckham,92,RM,Icon  Controlled,0,3,3,H \ H,80,87,95,88,69,82,"182cm | 6'0""  Average (74kg)",236,501,2464,FUT 22 ICONS,Icons,England
Dennis Bergkamp,92,CF,Icon  Controlled,0,4,4,M \ M,84,91,86,90,37,78,"183cm | 6'0""  Average (78kg)",189,466,2272,FUT 22 ICONS,Icons,Netherlands
Emilio Butragueño,92,ST,Icon  Explosive,0,3,5,M \ L,94,90,80,92,41,68,"168cm | 5'6""  Lean (68kg)",1088,465,2245,FUT 22 ICONS,Icons,Spain
